year,month_in_yr,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp
2010,10,17,166.2,4.2,28.3
2010,11,21,278.8,5.0,27.4
2010,12,14,181.4,3.6,26.8
2011,1,17,513.2,4.5,26.3
2011,2,8,23.0,7.5,27.3
2011,3,22,256.6,4.6,27.1
2011,4,12,217.8,7.2,27.9
2011,5,15,127.0,5.9,28.5
2011,6,15,213.0,5.0,28.4
2011,7,7,76.6,7.8,28.7
2011,8,13,81.4,6.1,27.9
2011,9,14,136.4,5.1,27.8
2011,10,20,216.8,5.3,27.3
2011,11,24,377.8,4.6,27.1
2011,12,21,284.6,3.3,26.6
2012,1,16,106.1,6.0,26.7
2012,2,11,83.6,7.0,27.2
2012,3,21,313.4,4.2,27.0
2012,4,20,260.6,5.8,27.6
2012,5,19,292.0,5.6,28.2
2012,6,8,53.0,6.0,28.7
2012,7,17,130.8,6.2,27.7
2012,8,12,119.0,6.1,27.9
2012,9,10,107.6,5.6,27.9
2012,10,13,122.2,5.9,27.7
2012,11,22,208.2,4.4,27.1
2012,12,22,363.4,3.6,26.7
2013,1,15,262.0,6.0,27.1
2013,2,22,395.2,4.0,26.5
2013,3,10,85.8,7.5,28.3
2013,4,19,159.4,5.2,28.2
2013,5,17,211.4,5.4,28.2
2013,6,12,111.4,6.4,29.0
2013,7,15,174.6,5.7,27.8
2013,8,15,165.6,6.1,27.9
2013,9,19,257.0,4.6,27.5
2013,10,19,285.4,6.3,27.7
2013,11,22,292.4,4.5,27.1
2013,12,21,348.2,3.5,26.5
2014,1,5,75.4,5.3,26.2
2014,2,1,0.2,8.8,27.2
2014,3,6,66.0,8.0,27.9
2014,4,17,110.0,5.7,28.2
2014,5,18,125.8,5.8,28.6
2014,6,11,71.4,6.0,29.0
2014,7,15,148.6,5.5,28.7
2014,8,20,241.0,4.5,27.7
2014,9,9,83.6,7.0,28.5
2014,10,10,120.0,6.0,28.4
2014,11,23,250.8,5.4,27.5
2014,12,17,245.6,3.7,27.0
2015,1,6,79.6,7.4,26.9
2015,2,6,18.8,7.3,27.0
2015,3,5,84.4,7.3,28.2
2015,4,13,73.2,7.2,28.6
2015,5,12,89.0,5.8,28.7
2015,6,10,95.8,6.7,29.0
2015,7,13,116.8,7.1,29.1
2015,8,11,185.8,6.1,28.4
2015,9,8,61.6,4.3,28.7
2015,10,9,87.2,4.7,28.7
2015,11,13,72.6,4.8,28.0
2015,12,19,302.3,5.3,27.7
2016,1,15,126.6,7.2,28.3
2016,2,10,186.0,6.5,27.8
2016,3,6,6.2,8.0,29.0
2016,4,14,89.8,7.0,29.4
2016,5,12,193.8,6.2,29.3
2016,6,13,162.8,5.4,28.5
2016,7,20,168.6,6.3,28.4
2016,8,15,139.2,6.7,28.9
2016,9,15,118.9,5.5,28.3
2016,10,16,181.0,4.6,28.3
2016,11,20,290.2,3.5,27.4
2016,12,23,292.6,5.1,27.4
2017,1,21,197.6,4.8,26.9
2017,2,15,158.4,7.1,26.9
2017,3,11,136.2,6.1,27.4
2017,4,21,208.6,5.3,27.8
2017,5,15,190.0,5.9,28.5
2017,6,10,106.0,6.3,28.5
2017,7,9,79.6,7.0,28.3
2017,8,18,84.2,6.1,28.1
2017,9,19,124.4,5.7,28.0
2017,10,18,120.8,5.5,27.9
2017,11,24,268.6,4.2,27.1
2017,12,23,371.2,5.6,27.0
2018,1,25,287.0,4.1,26.1
2018,2,5,14.8,8.0,27.2
2018,3,10,44.6,6.4,28.0
2018,4,14,61.2,6.8,28.5
2018,5,19,132.2,5.8,28.7
2018,6,17,182.6,4.1,28.4
2018,7,10,143.2,6.1,28.5
2018,8,11,121.6,6.7,28.5
2018,9,13,144.4,6.0,28.0
2018,10,18,234.4,6.1,27.9
2018,11,27,169.6,3.8,27.3
2018,12,19,172.6,5.1,27.6
2019,1,9,63.6,7.1,28.0
2019,2,5,31.6,9.2,28.2
2019,3,6,72.2,8.3,28.7
2019,4,9,174.8,5.9,28.6
2019,5,13,69.0,7.0,29.3
2019,6,16,173.8,5.3,28.4
2019,7,8,12.2,7.5,29.0
2019,8,6,11.8,7.6,29.1
2019,9,4,22.8,6.7,29.0
2019,10,15,176.8,6.5,28.1
2019,11,15,137.4,5.5,28.0
2019,12,14,421.5,4.8,26.7
2020,1,6,88.4,7.1,27.7
2020,2,8,65.0,8.3,27.9
2020,3,8,108.8,7.6,28.6
2020,4,12,188.0,7.1,28.9
2020,5,16,255.6,5.7,28.9
2020,6,21,233.8,4.3,28.1
2020,7,22,140.8,5.7,27.9
2020,8,12,103.4,6.4,28.3
2020,9,18,150.2,4.8,27.5
2020,10,16,78.8,4.3,28.3
2020,11,19,220.6,4.0,27.2
2020,12,20,253.2,5.2,27.2
2021,1,17,692.8,4.2,26.0
2021,2,2,1.0,8.2,27.3
2021,3,14,182.4,7.3,27.9
2021,4,14,290.4,6.8,28.2
2021,5,13,245.8,6.0,28.7
2021,6,20,93.4,6.5,28.5
2021,7,12,195.8,6.8,28.6
2021,8,24,293.6,4.8,27.6
2021,9,14,205.4,6.4,28.3
2021,10,14,177.0,6.2,28.5
2021,11,23,312.4,4.9,27.6
2021,12,15,119.6,5.4,27.7
2022,1,9,99.8,8.3,27.4
2022,2,16,175.0,5.9,27.3
2022,3,21,163.2,6.4,28.1
2022,4,18,239.6,5.2,28.1
2022,5,12,102.0,6.7,29.2
2022,6,17,211.8,4.7,27.9
2022,7,16,145.2,6.2,28.6
2022,8,15,141.4,5.5,28.1
2022,9,14,121.0,3.8,27.9
2022,10,27,280.0,3.5,27.6
