Date,Open,High,Low,Close
31/7/2001,1728.06,1728.11,1618.55,1666.03
31/8/2001,1669.08,1684.83,1607.88,1619.12
30/9/2001,1622.21,1625.96,1197.85,1319.53
31/10/2001,1329.54,1442.07,1318.34,1367.84
30/11/2001,1370.04,1502.5,1323.05,1478.54
31/12/2001,1479.8,1650.99,1477.77,1623.6
31/1/2002,1622.31,1793.05,1606.09,1786.89
28/2/2002,1804.96,1808.14,1660.16,1715.58
31/3/2002,1716.96,1848.99,1716.65,1803.22
30/4/2002,1806.62,1808.16,1703.01,1725.37
31/5/2002,1737.54,1761.7,1668.11,1671.84
30/6/2002,1676.71,1681.21,1520.1,1552.98
31/7/2002,1551.46,1665.15,1490.6,1508.36
31/8/2002,1510.4,1554.54,1441.92,1488.5
30/9/2002,1485.16,1485.96,1326.36,1352.3
31/10/2002,1345.69,1485.92,1345.5,1463.37
30/11/2002,1454.3,1456.09,1381.1,1391.53
31/12/2002,1393.11,1400.64,1325.09,1341.03
31/1/2003,1338.02,1406.31,1280.4,1291.44
28/2/2003,1299.79,1323.5,1268.16,1273.85
31/3/2003,1278.35,1338.71,1205.31,1267.82
30/4/2003,1260.03,1344.27,1225.07,1281.33
31/5/2003,1278.53,1364.75,1277.76,1349
30/6/2003,1366.96,1523.27,1365.15,1447.89
31/7/2003,1448.96,1605.6,1442.39,1558.87
31/8/2003,1565.6,1642.23,1496.44,1599.25
30/9/2003,1608.59,1647.36,1556.5,1630.8
31/10/2003,1621.06,1804.95,1621.02,1723.71
30/11/2003,1731.77,1795.8,1643.68,1714
31/12/2003,1723.65,1772.16,1704.22,1764.52
31/1/2004,1768.78,1912.93,1768.77,1848.36
29/2/2004,1835.12,1902.87,1817.46,1888.63
31/3/2004,1898.09,1904.94,1793.76,1858.92
30/4/2004,1856.8,1906.27,1794.05,1842.03
31/5/2004,1841.39,1882.38,1690.35,1788.66
30/6/2004,1787.38,1844.89,1767.26,1838
31/7/2004,1840.31,1895.98,1830.28,1891.71
31/8/2004,1886.98,1942.8,1861.57,1918.34
30/9/2004,1921.48,2007.98,1920.57,1984.74
31/10/2004,1986.96,2021.91,1932.18,1980.69
30/11/2004,1988.8,2050.78,1974.79,2027.66
31/12/2004,2029.28,2076.59,1999.14,2066.14
31/1/2005,2065.15,2101.65,2061.99,2096.32
28/2/2005,2097.66,2172.93,2089.55,2119.4
31/3/2005,2120.94,2191.29,2114.96,2142.75
30/4/2005,2141.38,2186.26,2107.67,2125.25
31/5/2005,2146.04,2187.78,2137.17,2161.77
30/6/2005,2169.46,2230.56,2167.75,2212.66
31/7/2005,2212.91,2362.66,2207.95,2352.56
31/8/2005,2353.57,2399.75,2258.96,2275.43
30/9/2005,2289.58,2325.11,2281.38,2305.14
31/10/2005,2302.03,2356.02,2190.07,2216.77
30/11/2005,2226.71,2322.76,2226.71,2300.25
31/12/2005,2299.4,2355.91,2298.15,2347.34
31/1/2006,2354.59,2440.71,2352.18,2412.08
28/2/2006,2425.66,2490.46,2415.03,2481.96
31/3/2006,2472.03,2541.29,2470.56,2533.39
30/4/2006,2542.77,2620.35,2531.74,2610.71
31/5/2006,2613.87,2666.33,2368.72,2383.87
30/6/2006,2394.36,2446.26,2277.9,2435.38
31/7/2006,2435.35,2456.52,2319.03,2445.42
31/8/2006,2436.63,2492.27,2427.05,2482.38
30/9/2006,2489.21,2576.26,2480.16,2568.86
31/10/2006,2571.45,2754.33,2569.8,2701.75
30/11/2006,2707.41,2860.21,2698.08,2838.53
31/12/2006,2843.63,2991.35,2826.31,2985.83
31/1/2007,3015.74,3173.98,2948.98,3125.56
28/2/2007,3151.27,3316.22,3039.6,3111.93
31/3/2007,3133.87,3250.86,2931.62,3231.24
30/4/2007,3240.07,3452.84,3231.12,3361.29
31/5/2007,3395.57,3559.01,3381.29,3511.12
30/6/2007,3547.63,3652.02,3480.62,3548.2
31/7/2007,3553.48,3688.58,3444.05,3547.65
31/8/2007,3516.03,3525.29,2962.01,3392.9
30/9/2007,3390.84,3726.53,3368.6,3706.23
31/10/2007,3734.93,3906.15,3632.98,3805.7
30/11/2007,3837.77,3842.95,3306.53,3521.27
31/12/2007,3549.47,3621.84,3300.86,3482.3
31/1/2008,3462.68,3474.89,2746.73,2981.75
29/2/2008,3015.89,3129.27,2859.08,3026.45
31/3/2008,2940.87,3058.91,2745.96,3007.36
30/4/2008,3007.36,3235.24,2994.84,3147.79
31/5/2008,3206.72,3269.87,3085.12,3192.62
30/6/2008,3188.22,3214.62,2922.87,2947.54
31/7/2008,2960.43,2997.82,2819.64,2929.64
31/8/2008,2893.98,2911.83,2688.32,2739.95
30/9/2008,2718.07,2763.41,2239.75,2358.91
31/10/2008,2371.07,2398.67,1473.77,1794.2
30/11/2008,1838.28,1933.51,1570.23,1732.57
31/12/2008,1709.51,1844.03,1638.67,1761.56
31/1/2009,1781.51,1959.95,1677.06,1746.47
28/2/2009,1734.23,1746.93,1567.22,1594.87
31/3/2009,1566.81,1779.04,1455.47,1699.99
30/4/2009,1696.4,1947.3,1689.87,1920.28
31/5/2009,1939.46,2347.37,1930.6,2329.08
30/6/2009,2341.48,2424.52,2211.81,2333.14
31/7/2009,2329.37,2659.2,2235.45,2659.2
31/8/2009,2648.17,2700.78,2521.36,2592.9
30/9/2009,2601.88,2707.24,2560.15,2672.57
31/10/2009,2662.74,2739.55,2576.84,2651.13
30/11/2009,2621.52,2803.85,2616.49,2732.12
31/12/2009,2750.35,2897.62,2743.36,2897.62
31/1/2010,2891.35,2947.08,2706.26,2745.35
28/2/2010,2742.23,2797,2665.97,2746.43
31/3/2010,2762.98,2937.8,2749.74,2887.46
30/4/2010,2898.76,3037.97,2898.21,2974.61
31/5/2010,2956.17,2959.7,2648.15,2752.6
30/6/2010,2741.67,2890.09,2710.8,2835.51
31/7/2010,2819.74,3018.26,2819.74,2987.7
31/8/2010,3011.84,3043.28,2910.21,2950.33
30/9/2010,2958.47,3125.72,2958.47,3097.63
31/10/2010,3106.92,3220.71,3101.46,3142.62
30/11/2010,3150.89,3313.61,3118.62,3144.7
31/12/2010,3144.75,3220.89,3121.07,3190.04
31/1/2011,3211.22,3280.77,3177.78,3179.72
28/2/2011,3188.93,3232.99,2965.24,3010.51
31/3/2011,3027.67,3115.47,2919.98,3105.85
30/4/2011,3107.9,3208.34,3103.22,3179.86
31/5/2011,3180.68,3182.46,3078.26,3159.93
30/6/2011,3161.87,3181.53,2999.19,3120.44
31/7/2011,3131.74,3200.56,3056.71,3189.26
31/8/2011,3205.76,3227.28,2680.83,2885.26
30/9/2011,2886.75,2910.28,2627.24,2675.16
31/10/2011,2642.68,2905.72,2521.95,2855.77
30/11/2011,2832.37,2880.12,2643.54,2702.46
31/12/2011,2774.01,2793.08,2606.52,2646.35
31/1/2012,2658.17,2917.59,2657.77,2906.69
29/2/2012,2900.27,3031.45,2883.49,2994.06
31/3/2012,3000.43,3035.78,2909.16,3010.46
30/4/2012,3013.37,3033.15,2946.29,2978.57
31/5/2012,2986.94,3013.11,2758.41,2772.54
30/6/2012,2758.14,2897.96,2698.9,2878.45
31/7/2012,2902.09,3040.11,2888.05,3036.4
31/8/2012,3026.54,3088.45,3004.76,3025.46
30/9/2012,3013.63,3088.35,2977.64,3060.34
31/10/2012,3054.57,3110.86,3021.92,3038.37
30/11/2012,3026.4,3083.26,2931.6,3069.95
31/12/2012,3086.49,3195.74,3052.23,3167.08
31/1/2013,3188.59,3290.9,3160.83,3282.66
28/2/2013,3286.65,3319.19,3250.87,3269.95
31/3/2013,3266.84,3321.62,3234.67,3308.1
30/4/2013,3313.37,3383.46,3264.08,3368.18
31/5/2013,3370.19,3464.79,3303.11,3311.37
30/6/2013,3287.1,3304.07,3065.42,3150.44
31/7/2013,3147.49,3277.55,3125.49,3221.93
31/8/2013,3244.23,3268.63,2990.68,3028.94
30/9/2013,3037.59,3260.14,3015.42,3167.87
31/10/2013,3180.72,3235.25,3122.38,3210.67
30/11/2013,3212.13,3218.55,3158.4,3176.35
31/12/2013,3177.87,3197.09,3025.41,3167.43
31/1/2014,3179.67,3187.8,3012.26,3027.22
28/2/2014,3011.41,3121.29,2953.01,3110.78
31/3/2014,3078.29,3194.2,3053.59,3188.62
30/4/2014,3202.18,3284.17,3181.89,3264.71
31/5/2014,3263.08,3308.43,3221.74,3295.85
30/6/2014,3302.4,3311.12,3246.72,3255.67
31/7/2014,3247.86,3387.84,3234.14,3374.06
31/8/2014,3348.55,3358.44,3278.21,3327.09
30/9/2014,3327.07,3356.71,3256.97,3276.74
31/10/2014,3267.96,3274.25,3149.91,3274.25
