year,month_in_yr,open,high,low,close,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp
1990,7,1524.4,1575.9,1523.5,1554.8,12,124.0,5.9,27.5
1990,8,1557.8,1557.8,1127.9,1277.9,13,146.6,5.8,28.0
1990,9,1265.6,1265.6,1098.7,1098.7,17,204.5,5.1,27.2
1990,10,1103.4,1211.0,1079.5,1154.0,12,56.4,5.9,27.5
1990,11,1133.7,1133.7,1088.5,1106.6,17,180.4,4.6,27.2
1990,12,1125.6,1197.6,1121.3,1154.8,16,201.1,5.5,26.3
1991,1,1153.5,1267.3,1149.1,1267.3,13,123.9,5.6,26.7
1991,2,1267.7,1459.6,1267.7,1459.6,7,45.5,7.0,27.1
1991,3,1463.0,1512.9,1459.7,1490.8,10,92.4,7.1,27.8
1991,4,1480.5,1558.6,1460.2,1553.9,13,134.2,5.8,27.7
1991,5,1557.2,1557.2,1503.1,1554.2,23,256.4,5.1,27.7
1991,6,1565.6,1565.6,1489.9,1489.9,9,88.7,7.1,28.6
1991,7,1498.3,1511.7,1447.4,1482.9,8,37.3,6.7,28.5
1991,8,1482.6,1482.6,1309.2,1432.2,8,226.2,5.3,28.2
1991,9,1429.0,1429.0,1360.6,1360.6,12,123.1,4.1,27.5
1991,10,1357.0,1424.6,1336.0,1407.1,5,52.0,4.2,27.5
1991,11,1416.5,1491.4,1416.5,1453.2,19,205.0,3.5,26.3
1991,12,1439.1,1477.0,1422.7,1477.0,19,492.3,3.0,25.6
1992,1,1479.4,1545.9,1479.4,1529.7,9,83.9,6.6,26.6
1992,2,1526.0,1530.9,1471.9,1477.4,4,62.4,7.7,27.5
1992,3,1460.5,1466.1,1414.3,1414.3,6,67.6,7.4,28.2
1992,4,1394.1,1490.7,1352.8,1466.0,13,160.3,6.4,28.4
1992,5,1499.0,1528.2,1458.6,1524.7,13,63.1,5.7,28.1
1992,6,1510.5,1522.7,1476.2,1481.1,14,162.8,5.5,28.0
1992,7,1480.8,1496.9,1398.0,1451.8,19,290.8,4.7,27.3
1992,8,1449.9,1457.5,1269.4,1378.5,11,76.1,5.7,27.8
1992,9,1378.5,1390.3,1325.1,1351.0,13,83.6,5.0,27.3
1992,10,1351.0,1406.1,1326.0,1387.0,20,233.2,4.5,27.4
1992,11,1387.0,1475.1,1387.0,1469.1,18,474.3,3.7,26.1
1992,12,1470.4,1527.0,1425.4,1524.4,23,502.7,3.4,25.5
1993,1,1524.1,1621.4,1524.1,1620.2,11,176.4,5.5,26.2
1993,2,1620.4,1681.0,1610.1,1664.5,8,69.2,8.5,26.7
1993,3,1665.3,1675.2,1626.5,1668.3,14,250.5,5.4,26.7
1993,4,1668.6,1803.1,1661.7,1783.6,20,283.9,6.4,27.6
1993,5,1783.6,1911.1,1767.0,1894.4,10,129.9,6.0,28.2
1993,6,1895.3,1900.5,1722.0,1802.8,17,115.5,6.2,28.5
1993,7,1804.2,1826.2,1762.2,1809.0,15,240.0,5.2,27.9
1993,8,1810.4,2017.3,1806.9,2008.7,11,106.8,7.4,28.6
1993,9,2008.7,2055.6,1944.4,2009.0,7,61.7,5.9,27.9
1993,10,2015.3,2145.7,2000.4,2102.5,13,175.5,5.2,27.5
1993,11,2102.5,2141.6,2027.5,2096.1,18,250.8,4.7,26.9
1993,12,2095.3,2439.8,2087.7,2425.7,19,308.5,4.2,26.5
1994,1,2427.4,2482.9,2140.0,2339.1,7,56.9,6.1,26.9
1994,2,2338.7,2425.4,2289.7,2342.7,15,133.5,6.4,27.0
1994,3,2342.7,2351.6,1990.4,2080.9,19,288.2,3.5,26.8
1994,4,2080.9,2321.0,2037.0,2296.2,15,154.0,5.8,27.9
1994,5,2296.5,2362.7,2208.0,2281.7,16,169.6,5.0,28.1
1994,6,2280.2,2309.6,2197.0,2224.9,14,184.7,6.0,28.1
1994,7,2224.9,2231.7,2143.6,2206.4,6,53.8,7.6,28.4
1994,8,2208.4,2358.6,2208.4,2312.7,12,45.1,6.5,28.1
1994,9,2315.7,2362.2,2271.9,2332.6,6,23.7,3.8,28.3
1994,10,2334.4,2395.4,2297.0,2379.0,11,84.7,4.5,27.9
1994,11,2379.0,2379.0,2182.7,2242.1,21,322.2,4.5,26.7
1994,12,2242.1,2246.2,2078.3,2239.6,18,425.4,5.3,26.9
1995,1,2239.6,2248.2,1903.8,2083.4,21,349.4,5.0,26.8
1995,2,2083.4,2141.0,2021.9,2126.7,16,334.0,4.9,26.5
1995,3,2126.7,2143.8,2048.7,2093.1,10,67.7,5.9,27.6
1995,4,2093.1,2113.5,2029.0,2071.3,16,242.3,5.6,27.9
1995,5,2070.1,2210.4,2056.1,2178.4,11,84.4,6.0,28.5
1995,6,2179.7,2218.9,2063.0,2093.2,12,63.7,6.6,28.9
1995,7,2094.8,2190.8,2091.1,2156.4,13,173.6,5.2,28.0
1995,8,2160.2,2160.7,2045.1,2146.6,21,211.6,4.1,27.4
1995,9,2146.6,2147.5,2099.8,2120.0,7,29.5,5.8,28.3
1995,10,2120.0,2149.6,2087.0,2107.4,12,101.1,4.7,27.8
1995,11,2107.4,2128.1,2060.1,2128.1,20,372.8,3.7,27.0
1995,12,2126.6,2287.6,2116.6,2266.5,20,302.5,3.1,26.3
1996,1,2266.5,2449.2,2255.8,2449.2,10,173.2,5.2,26.2
1996,2,2451.9,2504.0,2400.0,2438.5,11,180.2,5.8,26.5
1996,3,2438.5,2438.5,2282.1,2387.3,8,129.7,7.7,27.8
1996,4,2387.3,2417.0,2360.3,2415.7,15,178.2,5.4,27.8
1996,5,2406.2,2417.4,2309.1,2332.9,15,107.5,7.0,28.5
1996,6,2332.4,2347.5,2267.6,2296.2,15,265.8,5.9,28.3
1996,7,2301.9,2301.9,2083.2,2111.8,10,162.3,6.7,28.3
1996,8,2111.8,2182.6,2092.7,2153.5,18,258.4,5.0,27.4
1996,9,2153.5,2208.3,2094.5,2177.2,18,297.0,4.8,27.7
1996,10,2175.7,2177.3,2035.0,2083.2,19,300.0,4.3,27.5
1996,11,2086.7,2221.2,2062.7,2188.1,16,180.2,4.4,27.3
1996,12,2190.3,2219.6,2154.5,2216.8,15,185.5,4.5,26.6
1997,1,2216.8,2278.9,2209.5,2216.5,3,15.4,7.7,27.1
1997,2,2214.9,2270.9,2190.5,2195.7,8,105.4,4.9,27.4
1997,3,2195.7,2202.9,2065.6,2073.0,10,34.3,7.0,28.1
1997,4,2072.5,2114.1,1981.9,2004.3,12,118.4,5.6,28.1
1997,5,2004.3,2118.8,2004.3,2065.5,6,41.6,6.7,29.3
1997,6,2065.3,2066.7,1968.7,1988.0,12,78.9,7.3,29.3
1997,7,1987.1,2009.6,1913.6,1967.1,9,18.6,6.5,28.8
1997,8,1966.4,1974.2,1735.7,1805.6,9,86.6,5.7,28.8
1997,9,1805.6,1954.7,1772.2,1954.7,3,31.1,3.2,28.8
1997,10,1954.8,1954.8,1486.7,1586.1,8,78.4,3.2,28.2
1997,11,1587.4,1768.5,1587.4,1660.6,13,158.3,5.4,27.8
1997,12,1665.0,1758.4,1509.3,1529.8,23,351.9,5.3,27.3
1998,1,1530.2,1531.3,1031.3,1259.9,13,268.8,7.4,28.0
1998,2,1264.7,1636.8,1264.7,1615.4,5,32.5,8.9,28.9
1998,3,1616.0,1700.5,1532.6,1629.2,7,58.8,7.6,29.5
1998,4,1629.5,1629.5,1449.72,1493.4,13,187.7,6.7,29.2
1998,5,1494.98,1497.97,1254.49,1254.93,18,370.8,5.9,29.4
1998,6,1254.05,1254.05,1031.61,1066.66,15,198.8,5.3,28.6
1998,7,1070.01,1137.55,1034.52,1064.2,18,259.2,5.1,28.1
1998,8,1064.2,1100.74,848.57,856.43,18,195.0,4.6,27.5
1998,9,826.93,964.08,800.27,939.65,17,258.2,4.5,27.9
1998,10,938.08,1215.76,881.62,1204.62,20,222.7,5.0,28.0
1998,11,1210.84,1438.85,1158.46,1416.55,11,107.2,4.6,27.9
1998,12,1408.18,1452.91,1318.44,1392.73,22,463.4,3.1,26.6
1999,1,1399.57,1581.1,1382.95,1428.14,19,193.9,3.9,26.6
1999,2,1427.35,1428.72,1280.33,1411.91,9,67.4,6.7,27.2
1999,3,1414.56,1526.88,1409.62,1518.31,16,181.4,4.3,27.1
1999,4,1519.58,1904.42,1513.54,1886.19,14,88.5,5.8,28.3
1999,5,1892.43,1995.16,1855.51,1903.86,13,157.1,5.7,28.0
1999,6,1909.97,2213.34,1902.82,2167.7,13,103.4,6.0,28.2
1999,7,2184.49,2247.43,1936.61,2145.77,11,225.4,6.8,27.8
1999,8,2147.31,2168.85,1968.23,2117.17,13,204.0,5.7,27.5
1999,9,2116.71,2157.09,1986.36,2021.93,13,125.9,6.5,27.9
1999,10,2021.14,2136.83,1978.76,2047.15,20,205.0,4.7,27.2
1999,11,2054.02,2276.69,2048.5,2237.13,19,241.5,4.7,27.3
1999,12,2233.22,2497.0,2197.89,2479.58,17,340.5,4.1,26.8
2000,1,2502.28,2582.94,2223.41,2230.28,14,275.2,4.0,26.3
2000,2,2241.78,2285.68,2055.34,2120.5,18,237.8,5.8,26.6
2000,3,2129.17,2234.65,2015.2,2132.59,15,238.3,5.8,27.2
2000,4,2135.76,2194.13,1981.29,2164.11,20,311.6,5.3,27.5
2000,5,2172.01,2186.88,1782.43,1795.13,10,96.8,6.8,28.6
2000,6,1809.73,2094.19,1809.07,2037.97,16,157.5,4.6,27.6
2000,7,2044.13,2158.94,2008.66,2051.21,12,116.1,6.5,28.1
2000,8,2058.53,2221.13,2043.76,2147.77,18,113.5,5.1,27.5
2000,9,2158.77,2195.51,1915.26,1997.03,12,81.1,6.2,28.0
2000,10,1970.93,2003.59,1796.66,1976.54,14,120.9,4.0,27.8
2000,11,2018.43,2069.47,1901.73,1952.23,21,385.7,3.7,27.3
2000,12,1923.01,2021.64,1891.74,1926.83,18,236.0,4.2,27.0
2001,1,1922.81,1991.29,1846.93,1991.29,21,425.8,4.4,26.5
2001,2,1984.43,2000.33,1912.14,1947.4,11,86.6,4.8,27.0
2001,3,1935.75,1935.76,1622.27,1674.19,20,297.3,5.4,27.5
2001,4,1666.9,1722.72,1558.04,1722.72,18,203.3,5.3,27.7
2001,5,1735.75,1754.35,1637.1,1657.05,12,164.9,6.0,28.5
2001,6,1663.48,1726.5,1645.47,1726.5,11,137.1,4.9,28.2
2001,7,1728.06,1728.11,1618.55,1666.03,9,111.3,8.1,28.4
2001,8,1669.08,1684.83,1607.88,1619.12,14,158.3,4.9,28.0
2001,9,1622.21,1625.96,1197.85,1319.53,13,162.0,6.2,28.0
2001,10,1329.54,1442.07,1318.34,1367.84,20,252.2,4.4,27.6
2001,11,1370.04,1502.5,1323.05,1478.54,15,175.3,3.7,27.2
2001,12,1479.8,1650.99,1477.77,1623.6,20,609.0,4.5,26.7
2002,1,1622.31,1793.05,1606.09,1786.89,11,221.2,6.9,27.0
2002,2,1804.96,1808.14,1660.16,1715.58,2,50.8,7.4,27.3
2002,3,1716.96,1848.99,1716.65,1803.22,8,55.6,7.6,28.2
2002,4,1806.62,1808.16,1703.01,1725.37,13,116.5,6.6,28.6
2002,5,1737.54,1761.7,1668.11,1671.84,13,236.6,6.2,28.9
2002,6,1676.71,1681.21,1520.1,1552.98,12,83.1,6.3,28.7
2002,7,1551.46,1665.15,1490.6,1508.36,11,233.7,6.8,28.4
2002,8,1510.4,1554.54,1441.92,1488.5,14,54.2,6.7,28.5
2002,9,1485.16,1485.96,1326.36,1352.3,9,124.2,5.5,28.1
2002,10,1345.69,1485.92,1345.5,1463.37,7,10.8,6.2,28.7
2002,11,1454.3,1456.09,1381.1,1391.53,15,307.2,4.6,27.4
2002,12,1393.11,1400.64,1325.09,1341.03,24,255.0,4.8,27.2
2003,1,1338.02,1406.31,1280.4,1291.44,20,444.2,4.7,26.7
2003,2,1299.79,1323.5,1268.16,1273.85,13,172.9,5.8,27.1
2003,3,1278.35,1338.71,1205.31,1267.82,11,154.6,6.9,28.1
2003,4,1260.03,1344.27,1225.07,1281.33,20,159.9,5.1,27.9
2003,5,1278.53,1364.75,1277.76,1349.0,11,81.8,5.8,29.2
2003,6,1366.96,1523.27,1365.15,1447.89,12,50.3,7.0,28.9
2003,7,1448.96,1605.6,1442.39,1558.87,14,170.4,5.6,28.1
2003,8,1565.6,1642.23,1496.44,1599.25,13,193.6,6.1,28.2
2003,9,1608.59,1647.36,1556.5,1630.8,15,205.3,5.0,27.6
2003,10,1621.06,1804.95,1621.02,1723.71,21,351.4,5.1,27.6
2003,11,1731.77,1795.8,1643.68,1714.0,19,133.8,4.2,27.1
2003,12,1723.65,1772.16,1704.22,1764.52,17,273.0,3.9,26.5
